millis,sens0,sens1,sens2,sens3,sens4
68400000,1023,1023,1023,1023,1023
68700000,1023,1023,1023,1023,1023
69000000,1023,1023,1023,1023,1023
69300000,1023,1023,1023,1023,1023
69600000,1023,1023,1023,1023,1023
69900000,1023,1023,1023,1023,1023
70200000,1023,1023,1023,1023,1023
70500000,1023,1023,1023,1023,1023
70800000,1023,1023,1023,1023,1023
71100000,1023,1023,1023,1023,1023
71400000,1023,1023,1023,1023,1023
71700000,1023,1023,1023,1023,1023
72000000,1023,1023,1023,1023,1023
72300000,1023,1023,1023,1023,1023
72600000,1023,1023,1023,1023,1023
72900000,1023,1023,1023,1023,1023
73200000,1023,1023,1023,1023,1023
73500000,1023,1023,1023,1023,1023
73800000,1023,1023,1023,1023,1023
74100000,1023,1023,1023,1023,1023
74400000,1023,1023,1023,1023,1023
74700000,1023,1023,1023,1023,1023
75000000,1023,1023,1023,1023,1023
75300000,1023,1023,1023,1023,1023
75600000,1023,1023,1023,1023,1023
75900000,1023,1023,1023,1023,1023
76200000,1023,1023,1023,1023,1023
76500000,1023,1023,1023,1023,1023
76800000,1023,1023,1023,1023,1023
77100000,1023,1023,1023,1023,1023
77400000,1023,1023,1023,1023,1023
77700000,1023,1023,1023,1023,1023
78000000,1023,1023,1023,1023,1023
78300000,1023,1023,1023,1023,1023
78600000,1023,1023,1023,1023,1023
78900000,1023,1023,1023,1023,1023
79200000,1023,1023,1023,1023,1023
79500000,1023,1023,1023,1023,1023
79800000,1023,1023,1023,1023,1023
80100000,1023,1023,1023,1023,1023
80400000,1023,1023,1023,1023,1023
80700000,1023,1023,1023,1023,1023
81000000,1023,1023,1023,1023,1023
81300000,1023,1023,1023,1023,1023
81600000,1023,1023,1023,1023,1023
81900000,1023,1023,1023,1023,1023
82200000,1023,1023,1023,1023,1023
82500000,1023,1023,1023,1023,1023
82800000,1023,1023,1023,1023,1023
83100000,1023,1023,1023,1023,1023
83400000,1023,1023,1023,1023,1023
83700000,1023,1023,1023,1023,1023
84000000,1023,1023,1023,1023,1023
84300000,1023,1023,1023,1023,1023
84600000,1023,1023,1023,1023,1023
84900000,1023,1023,1023,1023,1023
85200000,1023,1023,1023,1023,1023
85500000,1023,1023,1023,1023,1023
85800000,1023,1023,1023,1023,1023
86100000,1023,1023,1023,1023,1023
86400000,1023,1023,1023,1023,1023
86700000,1023,1023,1023,1023,1023
87000000,1023,1023,1023,1023,1023
87300000,1023,1023,1023,1023,1023
87600000,1023,1023,1023,1023,1023
87900000,1023,1023,1023,1023,1023
88200000,1023,1023,1023,1023,1023
88500000,1023,1023,1023,1023,1023
88800000,1023,1023,1023,1023,1023
89100000,1023,1023,1023,1023,1023
89400000,1023,1023,1023,1023,1023
